Metal,Candidate,Reference,Gain,Conditional_low,Conditional_high,Positive_blocks
Fe,FC,Single4_G,-0.0045608806760412705,-0.027741237552265964,0.02235122770053291,3
Zn,FC,Single4_G,-0.0005218232323586744,-0.01284193687243036,0.011112615114201387,6
Cu,FC,Single4_G,0.016581181768575298,-0.003098393114208452,0.035414779866705284,7
Cr,FC,Single4_G,-0.016305634612470442,-0.0308599868014804,-0.0018892214300176716,2
Co,FC,Single4_G,0.0062014191670109005,-0.003001402562640356,0.01920808297194963,5
Ni,FC,Single4_G,-0.00041691428009969013,-0.0036225501504303947,0.003162771489254619,4
Mn,FC,Single4_G,0.02226283377173447,-0.0015208194779598306,0.046853322005079315,6
Pb,FC,Single4_G,0.0016629310779102194,-0.006023462600364568,0.01018835500824357,5
Cd,FC,Single4_G,-0.012588335330187009,-0.02233981480658652,-0.003875785782272405,2
