Metal,Model,High_n,k,Hits,Recall,Precision,Lift,Random_hits,Random_upper_tail
Fe,F,11,1,0,0.0,0.0,0.0,0.2558139534883721,1.0
Fe,F,11,2,0,0.0,0.0,0.0,0.5116279069767442,1.0
Fe,F,11,3,0,0.0,0.0,0.0,0.7674418604651163,1.0
Fe,F,11,4,0,0.0,0.0,0.0,1.0232558139534884,1.0
Fe,F,11,5,0,0.0,0.0,0.0,1.2790697674418605,1.0
Fe,F,11,6,0,0.0,0.0,0.0,1.5348837209302326,1.0
Fe,F,11,7,0,0.0,0.0,0.0,1.7906976744186047,1.0
Fe,F,11,8,0,0.0,0.0,0.0,2.046511627906977,1.0
Fe,F,11,9,0,0.0,0.0,0.0,2.302325581395349,1.0
Fe,F,11,10,0,0.0,0.0,0.0,2.558139534883721,1.0
Fe,F,11,11,0,0.0,0.0,0.0,2.813953488372093,1.0
Fe,F,11,12,1,0.09090909090909091,0.08333333333333333,0.32575757575757575,3.0697674418604652,0.9852795113037909
Fe,F,11,13,1,0.09090909090909091,0.07692307692307693,0.30069930069930073,3.3255813953488373,0.9905029105185748
Fe,F,11,14,2,0.18181818181818182,0.14285714285714285,0.5584415584415584,3.5813953488372094,0.9452334506571146
Fe,F,11,15,2,0.18181818181818182,0.13333333333333333,0.5212121212121212,3.8372093023255816,0.9620443906587178
Fe,F,11,16,2,0.18181818181818182,0.125,0.48863636363636365,4.093023255813954,0.9742666302006998
Fe,F,11,17,3,0.2727272727272727,0.17647058823529413,0.6898395721925134,4.348837209302325,0.9090813526434627
Fe,F,11,18,3,0.2727272727272727,0.16666666666666666,0.6515151515151514,4.604651162790698,0.9346540384543788
Fe,F,11,19,3,0.2727272727272727,0.15789473684210525,0.617224880382775,4.8604651162790695,0.9542171430997296
Fe,F,11,20,3,0.2727272727272727,0.15,0.5863636363636363,5.116279069767442,0.9687935740119518
Fe,F,11,21,4,0.36363636363636365,0.19047619047619047,0.7445887445887447,5.372093023255814,0.9054177874370728
Fe,F,11,22,4,0.36363636363636365,0.18181818181818182,0.7107438016528925,5.627906976744186,0.9323044847718699
Fe,F,11,23,5,0.45454545454545453,0.21739130434782608,0.8498023715415021,5.883720930232558,0.8337199278776136
Fe,F,11,24,5,0.45454545454545453,0.20833333333333334,0.8143939393939393,6.1395348837209305,0.8754886480354432
Fe,F,11,25,5,0.45454545454545453,0.2,0.7818181818181817,6.395348837209302,0.909782965638714
Fe,F,11,26,6,0.5454545454545454,0.23076923076923078,0.9020979020979021,6.651162790697675,0.7954685736278118
Fe,F,11,27,7,0.6363636363636364,0.25925925925925924,1.0134680134680134,6.906976744186046,0.6206347976111379
Fe,F,11,28,8,0.7272727272727273,0.2857142857142857,1.1168831168831168,7.162790697674419,0.4098976568767542
Fe,F,11,29,9,0.8181818181818182,0.3103448275862069,1.2131661442006272,7.4186046511627906,0.2132096588579961
Fe,F,11,30,9,0.8181818181818182,0.3,1.1727272727272728,7.674418604651163,0.2714132501084449
Fe,F,11,31,9,0.8181818181818182,0.2903225806451613,1.1348973607038124,7.930232558139535,0.3385712400128089
Fe,F,11,32,9,0.8181818181818182,0.28125,1.0994318181818183,8.186046511627907,0.4140023156300293
Fe,F,11,33,9,0.8181818181818182,0.2727272727272727,1.0661157024793388,8.44186046511628,0.4962907617579062
Fe,F,11,34,9,0.8181818181818182,0.2647058823529412,1.0347593582887702,8.69767441860465,0.5831873608689442
Fe,F,11,35,9,0.8181818181818182,0.2571428571428571,1.0051948051948052,8.953488372093023,0.6715693719305983
Fe,F,11,36,9,0.8181818181818182,0.25,0.9772727272727273,9.209302325581396,0.7574963271294286
Fe,F,11,37,9,0.8181818181818182,0.24324324324324326,0.9508599508599509,9.465116279069768,0.8364088370059053
Fe,F,11,38,10,0.9090909090909091,0.2631578947368421,1.0287081339712918,9.720930232558139,0.6201301062333393
Fe,F,11,39,11,1.0,0.28205128205128205,1.1025641025641026,9.976744186046512,0.291386435459039
Fe,F,11,40,11,1.0,0.275,1.075,10.232558139534884,0.40191232477108824
