Metal,N,Top_quartile_h_k,LF_R2,LFplusFD_R2,LF_MAE,LFplusFD_MAE,LF_hits,LFplusFD_hits
Fe,15,4,-0.9141128910418144,-0.894687134378964,0.3708451058695193,0.38371582871766713,0,1
Cr,15,4,-0.8904830661173175,-0.9423394996455838,0.35619790493113235,0.37957359191984236,0,0
Mn,15,4,-0.7992280813334358,-0.6481514840208915,0.390199889861936,0.3583593754340671,0,1
Co,15,4,-0.9327651291265759,-0.8990089398070646,0.3741119678308603,0.38213784908780146,0,1
Ni,15,4,-0.5857898851967485,-0.6615884999073653,0.10585861487456992,0.11332656052408427,0,1
Zn,15,4,-0.9382734976568861,-0.9839999525151892,0.23358099164624915,0.25241130279375223,0,0
Pb,14,4,-1.3614935696068504,-1.3905210671035566,0.4198681987633187,0.42696376771484984,0,0
