Grouping,Model,R2,MAE_sample,MAE_block,Hits_h11_k11
Ten_code_blocks,Context,0.2168269411161574,0.11364833659024488,0.12275841459269499,6
Ten_code_blocks,ContextF,0.3640948234154723,0.10847541839235719,0.12138455896568649,6
Ten_code_blocks,ContextFC,0.5431725299096475,0.08343005918468842,0.1037759744213651,6
Nineteen_side_codes,Context,0.21694608854232267,0.11381603926610186,0.11714545280081476,6
Nineteen_side_codes,ContextF,0.34621073137232605,0.11024854462687085,0.11453720956496627,5
Nineteen_side_codes,ContextFC,0.5328890101854888,0.08452519393884729,0.08895800675741998,6
Five_merged_blocks,Context,0.24116689496486166,0.11242262438090617,0.12488276355251868,6
Five_merged_blocks,ContextF,0.40528968768039864,0.10558237178930092,0.12291403741412239,5
Five_merged_blocks,ContextFC,0.5943383782422795,0.07902515941296734,0.10102212621072792,6
