Metal,Candidate,Reference,Gain,Conditional_low,Conditional_high,Positive_blocks
Fe,FC,Single4_G,-0.004560880676041523,-0.027741237552266394,0.02235122770053282,3
Zn,FC,Single4_G,-0.0005218232323586439,-0.012841936872430404,0.011112615114201372,6
Cu,FC,Single4_G,0.016581181768575353,-0.003098393114208386,0.03541477986670527,7
Cr,FC,Single4_G,-0.01630563461247055,-0.0308599868014804,-0.0018892214300176915,2
Co,FC,Single4_G,0.006201419167010927,-0.003001402562640336,0.01920808297194971,5
Ni,FC,Single4_G,-0.0004169142800996603,-0.003622550150430385,0.0031627714892546684,4
Mn,FC,Single4_G,0.02226283377173433,-0.0015208194779599,0.04685332200507957,6
Pb,FC,Single4_G,0.0016629310779101888,-0.0060234626003645994,0.010188355008243449,5
Cd,FC,Single4_G,-0.012588335330186964,-0.02233981480658652,-0.0038757857822723277,2
