Sample,Field,SourceValue,ReconstructionValue,AbsDiff,PASS,Note
9,Cd_mgkg,15.121614364037749,15.121614364037749,0.0,True,Enrichment Factor final mg/kg column 28
10,SiteCode,R3,R3,,True,dist!B
10,Fine_Klf_raw,93,93.0,0.0,True,dist!D
10,Fine_Khf_raw,88,88.0,0.0,True,dist!E
10,Fine_net_mass_g_primary,13.111399999999998,13.111399999999998,0.0,True,dist!G cached net mass (formula subtracts bottle)
10,Fine_LF_reconstructed_from_raw,70.93064051131078,70.93064051131078,0.0,True,10*Klf/primary net mass
10,Fine_HF_reconstructed_from_raw,67.11716521500375,67.11716521500375,0.0,True,10*Khf/primary net mass
10,Coarse_Klf_raw,110,110.0,0.0,True,dist column 11
10,Coarse_Khf_raw,104,104.0,0.0,True,dist column 12
10,Coarse_mass_g,12.3739,12.3739,0.0,True,dist column 13
10,Coarse_LF_reconstructed_from_raw,88.89679082585118,88.89679082585118,0.0,True,10*Klf/coarse mass
10,Coarse_HF_reconstructed_from_raw,84.04787496262294,84.04787496262294,0.0,True,10*Khf/coarse mass
10,Fe_mgkg,17396.880220202605,17396.880220202605,0.0,True,Enrichment Factor final mg/kg column 20
10,Zn_mgkg,60.80084397639854,60.80084397639854,0.0,True,Enrichment Factor final mg/kg column 21
10,Cu_mgkg,31.482484677105987,31.482484677105987,0.0,True,Enrichment Factor final mg/kg column 22
10,Cr_mgkg,51.26412139343946,51.26412139343946,0.0,True,Enrichment Factor final mg/kg column 23
10,Co_mgkg,39.24790470374422,39.24790470374422,0.0,True,Enrichment Factor final mg/kg column 24
10,Ni_mgkg,60.299993164448644,60.299993164448644,0.0,True,Enrichment Factor final mg/kg column 25
10,Mn_mgkg,686.4824941790898,686.4824941790898,0.0,True,Enrichment Factor final mg/kg column 26
10,Pb_mgkg,108.47475973132316,108.47475973132316,0.0,True,Enrichment Factor final mg/kg column 27
10,Cd_mgkg,4.070997883799511,4.070997883799511,0.0,True,Enrichment Factor final mg/kg column 28
11,SiteCode,R3,R3,,True,dist!B
11,Fine_Klf_raw,140,140.0,0.0,True,dist!D
11,Fine_Khf_raw,129,129.0,0.0,True,dist!E
11,Fine_net_mass_g_primary,10.6867,10.6867,0.0,True,dist!G cached net mass (formula subtracts bottle)
11,Fine_LF_reconstructed_from_raw,131.0039581910225,131.0039581910225,0.0,True,10*Klf/primary net mass
11,Fine_HF_reconstructed_from_raw,120.71079004744215,120.71079004744215,0.0,True,10*Khf/primary net mass
11,Coarse_Klf_raw,155,155.0,0.0,True,dist column 11
11,Coarse_Khf_raw,143,143.0,0.0,True,dist column 12
11,Coarse_mass_g,12.795,12.795,0.0,True,dist column 13
11,Coarse_LF_reconstructed_from_raw,121.14107073075421,121.1410707307542,1.4210854715202004e-14,True,10*Klf/coarse mass
11,Coarse_HF_reconstructed_from_raw,111.76240719030872,111.76240719030872,0.0,True,10*Khf/coarse mass
11,Fe_mgkg,23570.513112439738,23570.513112439738,0.0,True,Enrichment Factor final mg/kg column 20
11,Zn_mgkg,92.3857473103939,92.3857473103939,0.0,True,Enrichment Factor final mg/kg column 21
11,Cu_mgkg,36.97188448565187,36.97188448565187,0.0,True,Enrichment Factor final mg/kg column 22
11,Cr_mgkg,61.3702642898432,61.3702642898432,0.0,True,Enrichment Factor final mg/kg column 23
11,Co_mgkg,55.09094364161598,55.09094364161598,0.0,True,Enrichment Factor final mg/kg column 24
11,Ni_mgkg,88.41371276175171,88.41371276175171,0.0,True,Enrichment Factor final mg/kg column 25
11,Mn_mgkg,852.6754852918554,852.6754852918554,0.0,True,Enrichment Factor final mg/kg column 26
11,Pb_mgkg,115.24850145706041,115.24850145706041,0.0,True,Enrichment Factor final mg/kg column 27
11,Cd_mgkg,5.321452304155588,5.321452304155588,0.0,True,Enrichment Factor final mg/kg column 28
12,SiteCode,L3,L3,,True,dist!B
12,Fine_Klf_raw,226,226.0,0.0,True,dist!D
12,Fine_Khf_raw,222,222.0,0.0,True,dist!E
12,Fine_net_mass_g_primary,11.8836,11.8836,0.0,True,dist!G cached net mass (formula subtracts bottle)
12,Fine_LF_reconstructed_from_raw,190.17806052038102,190.17806052038105,2.842170943040401e-14,True,10*Klf/primary net mass
12,Fine_HF_reconstructed_from_raw,186.8120771483389,186.8120771483389,0.0,True,10*Khf/primary net mass
12,Coarse_Klf_raw,118,118.0,0.0,True,dist column 11
12,Coarse_Khf_raw,118,118.0,0.0,True,dist column 12
12,Coarse_mass_g,13.5995,13.5995,0.0,True,dist column 13
12,Coarse_LF_reconstructed_from_raw,86.76789587852494,86.76789587852494,0.0,True,10*Klf/coarse mass
12,Coarse_HF_reconstructed_from_raw,86.76789587852494,86.76789587852494,0.0,True,10*Khf/coarse mass
12,Fe_mgkg,10528.534835250504,10528.534835250504,0.0,True,Enrichment Factor final mg/kg column 20
12,Zn_mgkg,159.80885790389215,159.80885790389215,0.0,True,Enrichment Factor final mg/kg column 21
12,Cu_mgkg,119.21276226807699,119.21276226807699,0.0,True,Enrichment Factor final mg/kg column 22
12,Cr_mgkg,34.586148436203025,34.586148436203025,0.0,True,Enrichment Factor final mg/kg column 23
12,Co_mgkg,42.84818950411214,42.84818950411214,0.0,True,Enrichment Factor final mg/kg column 24
12,Ni_mgkg,71.16910919049408,71.16910919049408,0.0,True,Enrichment Factor final mg/kg column 25
12,Mn_mgkg,323.13561890499363,323.13561890499363,0.0,True,Enrichment Factor final mg/kg column 26
12,Pb_mgkg,162.99403747436665,162.99403747436665,0.0,True,Enrichment Factor final mg/kg column 27
12,Cd_mgkg,15.816971409887362,15.816971409887362,0.0,True,Enrichment Factor final mg/kg column 28
13,SiteCode,L3,L3,,True,dist!B
13,Fine_Klf_raw,81,81.0,0.0,True,dist!D
13,Fine_Khf_raw,80,80.0,0.0,True,dist!E
13,Fine_net_mass_g_primary,11.1341,11.1341,0.0,True,dist!G cached net mass (formula subtracts bottle)
13,Fine_LF_reconstructed_from_raw,72.74948132314242,72.74948132314242,0.0,True,10*Klf/primary net mass
13,Fine_HF_reconstructed_from_raw,71.85133957841227,71.85133957841227,0.0,True,10*Khf/primary net mass
13,Coarse_Klf_raw,19,19.0,0.0,True,dist column 11
13,Coarse_Khf_raw,17,17.0,0.0,True,dist column 12
13,Coarse_mass_g,13.1359,13.1359,0.0,True,dist column 13
