Metal,S_MAE_config_diff_batches,S_REC_config_diff_batches,S_MAE_outer_recall_diff_batches,S_REC_outer_recall_diff_batches,MeanDelta_FD,MeanDelta_logHF
Fe,3,0,2,0,0.039629629629629626,0.024814814814814814
Zn,0,0,0,0,0.029629629629629627,0.029629629629629627
Cu,0,0,0,0,-0.10333333333333335,-0.10333333333333335
Cr,0,0,1,1,0.004444444444444444,0.004444444444444444
Co,6,0,2,0,0.11296296296296296,0.09814814814814814
Ni,2,1,1,1,0.017407407407407406,0.03518518518518518
Mn,2,0,2,1,0.12962962962962965,0.11925925925925927
Pb,0,0,0,0,-0.05851851851851852,-0.05851851851851852
Cd,0,1,0,0,0.007777777777777778,0.007777777777777778
