Representation,Configuration,Condition_Min,Condition_Median,Condition_Max
FD,Fν,1.8519961614611888,1.9611435835804083,2.167680476030753
FD,Cν,1.1621265998129153,1.2936413956909816,1.5423037821171315
logHF,Fν,40.556809619698726,44.74235572621764,47.801507580005776
logHF,Cν,30.208461978441832,32.98815795411268,45.04121467930199
