Representation,Deleted_Block,Outer_Block_A,Outer_Block_B,Test_n,Metal,S_MAE,S_REC,Inner_MAE_of_S_MAE,Inner_Recovery_of_S_MAE,Inner_MAE_of_S_REC,Inner_Recovery_of_S_REC,Recovery_Primary_Tie_Size,Recovery_Primary_Tied_Set,Outer_Recall_S_MAE,Outer_Recall_S_REC,Delta_Recall,Outer_Hits_S_MAE,Outer_Hits_S_REC,High_n,Budget_k,Outer_BlockMAE_S_MAE,Outer_BlockMAE_S_REC,Delta_BlockMAE_REC_minus_MAE,Inner_Pairs
FD,0,2,4,4,Mn,Fν,Cν,0.12955385126488128,0.46845238095238084,0.1500534807907062,0.6029761904761904,1,Cν,1.0,1.0,0.0,1,1,1,1,0.1120526324008797,0.07120729355000488,-0.040845338850874824,28
FD,0,2,4,4,Pb,F,Cν,0.10762301778116524,0.5142857142857141,0.12993583499973765,0.5886904761904761,1,Cν,1.0,1.0,0.0,1,1,1,1,0.031824469795189936,0.08281845349886163,0.0509939837036717,28
FD,0,2,4,4,Cd,F,F,0.2686587939492996,0.2577380952380952,0.2686587939492996,0.2577380952380952,1,F,0.0,0.0,0.0,0,0,1,1,0.2875791950450612,0.2875791950450612,0.0,28
FD,0,2,5,4,Fe,Cν,Cν,0.1836180430458352,0.6005952380952381,0.1836180430458352,0.6005952380952381,1,Cν,1.0,1.0,0.0,1,1,1,1,0.05100897376055713,0.05100897376055713,0.0,28
FD,0,2,5,4,Zn,F,F,0.09580821190291967,0.7261904761904762,0.09580821190291967,0.7261904761904762,1,F,0.0,0.0,0.0,0,0,1,1,0.1392444125173974,0.1392444125173974,0.0,28
FD,0,2,5,4,Cu,FC,FC,0.13108783886592032,0.7142857142857143,0.13108783886592032,0.7142857142857143,1,FC,0.0,0.0,0.0,0,0,1,1,0.10238294194619507,0.10238294194619507,0.0,28
FD,0,2,5,4,Cr,Cν,Cν,0.09412829427598092,0.6702380952380952,0.09412829427598092,0.6702380952380952,1,Cν,1.0,1.0,0.0,1,1,1,1,0.0928948020905635,0.0928948020905635,0.0,28
FD,0,2,5,4,Co,C,Cν,0.06373999266710124,0.4541666666666668,0.06546189529675453,0.6410714285714285,1,Cν,1.0,1.0,0.0,1,1,1,1,0.05537249292363844,0.048190878072007726,-0.007181614851630713,28
FD,0,2,5,4,Ni,C,Cν,0.07426495409612903,0.5244047619047619,0.07649736377310308,0.5714285714285714,1,Cν,1.0,1.0,0.0,1,1,1,1,0.04404061215035676,0.04080867579088138,-0.0032319363594753847,28
FD,0,2,5,4,Mn,FC,Cν,0.13294879156781442,0.5333333333333334,0.1448760316708242,0.6339285714285713,1,Cν,0.0,1.0,1.0,0,1,1,1,0.05942620821491218,0.09213569464728266,0.03270948643237048,28
FD,0,2,5,4,Pb,F,FC,0.10509059823939337,0.526190476190476,0.10822720708623478,0.5291666666666665,1,FC,0.0,0.0,0.0,0,0,1,1,0.043712031938790696,0.04290931648075935,-0.0008027154580313445,28
FD,0,2,5,4,Cd,F,F,0.3159841777475688,0.3125,0.3159841777475688,0.3125,1,F,0.0,0.0,0.0,0,0,1,1,0.12274659605328905,0.12274659605328905,0.0,28
FD,0,2,6,12,Fe,Cν,Cν,0.171407733935804,0.6583333333333332,0.171407733935804,0.6583333333333332,1,Cν,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.11364005210902747,0.11364005210902747,0.0,28
FD,0,2,6,12,Zn,F,F,0.11062039807530898,0.6613095238095237,0.11062039807530898,0.6613095238095237,1,F,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.1057895102293773,0.1057895102293773,-6.938893903907228e-18,28
FD,0,2,6,12,Cu,FC,F,0.138991796156245,0.6773809523809523,0.14539313121361347,0.7416666666666666,1,F,0.6666666666666666,0.3333333333333333,-0.3333333333333333,2,1,3,3,0.08357717954125628,0.1139207636318945,0.030343584090638226,28
FD,0,2,6,12,Cr,Cν,Cν,0.09209173316617039,0.7488095238095239,0.09209173316617039,0.7488095238095239,1,Cν,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.08998480660342748,0.08998480660342748,6.938893903907228e-18,28
FD,0,2,6,12,Co,Cν,Cν,0.06268213524328749,0.6345238095238095,0.06268213524328749,0.6345238095238095,1,Cν,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.059285580371682245,0.059285580371682245,0.0,28
FD,0,2,6,12,Ni,C,C,0.08060556700468575,0.5440476190476191,0.08060556700468575,0.5440476190476191,1,C,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.028837946263090285,0.028837946263090285,0.0,28
FD,0,2,6,12,Mn,Fν,Cν,0.1339662348824514,0.37619047619047613,0.14433370460998854,0.6154761904761904,1,Cν,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.09109282148314943,0.07484988470717129,-0.01624293677597815,28
FD,0,2,6,12,Pb,F,C,0.10470358422653123,0.42857142857142844,0.12287770082644668,0.4916666666666666,1,C,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.056716997901467,0.08770234171513996,0.03098534381367296,28
FD,0,2,6,12,Cd,Cν,Cν,0.2979553081521879,0.4089285714285714,0.2979553081521879,0.4089285714285714,1,Cν,0.0,0.0,0.0,0,0,3,3,0.22394154962949475,0.22394154962949475,0.0,28
FD,0,2,7,4,Fe,Cν,Cν,0.1440579050485586,0.6124999999999999,0.1440579050485586,0.6124999999999999,1,Cν,1.0,1.0,0.0,1,1,1,1,0.1710797126746857,0.1710797126746857,0.0,28
FD,0,2,7,4,Zn,F,F,0.11534977585034223,0.744047619047619,0.11534977585034223,0.744047619047619,1,F,0.0,0.0,0.0,0,0,1,1,0.0799695770471694,0.0799695770471694,0.0,28
FD,0,2,7,4,Cu,FC,F,0.1351036098413095,0.6547619047619048,0.14072546461598723,0.7059523809523807,1,F,0.0,0.0,0.0,0,0,1,1,0.08858885447929071,0.11715545144023448,0.02856659696094377,28
FD,0,2,7,4,Cr,Cν,Cν,0.1011349983114771,0.6702380952380952,0.1011349983114771,0.6702380952380952,1,Cν,1.0,1.0,0.0,1,1,1,1,0.06681697418604299,0.06681697418604299,0.0,28
FD,0,2,7,4,Co,C,Cν,0.0511786092342827,0.4898809523809525,0.05240658696450684,0.6601190476190476,1,Cν,1.0,1.0,0.0,1,1,1,1,0.1022864582373475,0.0948221825905094,-0.007464275646838103,28
FD,0,2,7,4,Ni,C,Cν,0.06765007416064668,0.5125000000000001,0.06830760426338141,0.6,1,Cν,1.0,1.0,0.0,1,1,1,1,0.07289288120514714,0.06946757542327692,-0.003425305781870225,28
FD,0,2,7,4,Mn,FC,Cν,0.13677299833836015,0.5333333333333334,0.1435292835996617,0.6267857142857142,1,Cν,0.0,1.0,1.0,0,1,1,1,0.042525026206844174,0.10132753866239186,0.058802512455547684,28
FD,0,2,7,4,Pb,F,Cν,0.10620247596703776,0.526190476190476,0.12543585284349998,0.6172619047619047,1,Cν,1.0,1.0,0.0,1,1,1,1,0.0386803614854786,0.09841065630043783,0.05973029481495923,28
FD,0,2,7,4,Cd,F,F,0.3245526428528767,0.26488095238095233,0.3245526428528767,0.26488095238095233,1,F,1.0,1.0,0.0,1,1,1,1,0.08916769090250448,0.08916769090250448,0.0,28
FD,0,2,8,11,Fe,Fν,Cν,0.1638213779808353,0.43690476190476196,0.1714453122744242,0.6303571428571428,1,Cν,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.1284878938208882,0.09458766617259734,-0.03390022764829087,28
FD,0,2,8,11,Zn,F,F,0.106146932049935,0.7607142857142858,0.106146932049935,0.7607142857142858,1,F,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.12905929903566693,0.12905929903566693,0.0,28
FD,0,2,8,11,Cu,FC,Cν,0.13418803702710094,0.6446428571428573,0.16676253741702693,0.7119047619047618,1,Cν,0.6666666666666666,0.3333333333333333,-0.3333333333333333,2,1,3,3,0.10218209112342728,0.21290744206633272,0.11072535094290543,28
