Metal,Model,Metric,Printed,Independent,Independent_3dp,Matches_printed
Pb,Context,R2,0.054,0.053821099911894654,0.054,True
Pb,Context,Q2,0.144,0.14412354155295226,0.144,True
Pb,Context,MAE_sample,0.102,0.10188368647807991,0.102,True
Pb,Context,MAE_block,0.116,0.11641973459327844,0.116,True
Pb,Context+F,R2,0.332,0.33202044843797196,0.332,True
Pb,Context+F,Q2,0.396,0.39577180081618824,0.396,True
Pb,Context+F,MAE_sample,0.085,0.0846054473622825,0.085,True
Pb,Context+F,MAE_block,0.098,0.09808971369187333,0.098,True
Pb,Context+FC,R2,0.308,0.3076568555252006,0.308,True
Pb,Context+FC,Q2,0.374,0.3737334467424642,0.374,True
Pb,Context+FC,MAE_sample,0.086,0.0861316129601107,0.086,True
Pb,Context+FC,MAE_block,0.102,0.1020859077793846,0.102,True
Cd,Context,R2,-0.299,-0.29942235123808647,-0.299,True
Cd,Context,Q2,-0.169,-0.1692697612455396,-0.169,True
Cd,Context,MAE_sample,0.255,0.25491896680108145,0.255,True
Cd,Context,MAE_block,0.29,0.29003512509650203,0.290,True
Cd,Context+F,R2,-0.297,-0.2966031572500749,-0.297,True
Cd,Context+F,Q2,-0.167,-0.16673294303695152,-0.167,True
Cd,Context+F,MAE_sample,0.258,0.257524541663478,0.258,True
Cd,Context+F,MAE_block,0.295,0.29458878185059467,0.295,True
Cd,Context+FC,R2,-0.377,-0.3765622049393822,-0.377,True
Cd,Context+FC,Q2,-0.239,-0.23868314191725903,-0.239,True
Cd,Context+FC,MAE_sample,0.266,0.2662906585880562,0.266,True
Cd,Context+FC,MAE_block,0.304,0.30406150195951476,0.304,True
