Transform,Intercept,Grouping,Model,Metal,R2,Q2,MAE_sample,MAE_block,Hits_h11_k11
log10_1plus_metres,True,Ten_code_blocks,Context,Fe,0.049296836086299534,0.08513980724861714,0.15906515735458074,0.17050675771346305,7
log10_1plus_metres,True,Ten_code_blocks,Context,Zn,0.13977761670483235,0.17608011921687672,0.13977227498175082,0.13519076926571408,5
log10_1plus_metres,True,Ten_code_blocks,Context,Cu,-0.009877990929616942,0.10718094046801563,0.1514656216193285,0.18112848991751057,3
log10_1plus_metres,True,Ten_code_blocks,Context,Cr,-0.20964484824302043,-0.10661025056802798,0.13489395468162366,0.15094364894771178,4
log10_1plus_metres,True,Ten_code_blocks,Context,Co,0.058922992851347056,0.09376194231220436,0.06573725987600637,0.07367038073544994,6
log10_1plus_metres,True,Ten_code_blocks,Context,Ni,-0.055293755748344164,-0.027992708930445476,0.07530708608613433,0.08603651340054634,4
log10_1plus_metres,True,Ten_code_blocks,Context,Mn,0.21682694111615974,0.23624503349403514,0.11364833659024468,0.12275841459269479,6
log10_1plus_metres,True,Ten_code_blocks,Context,Pb,0.053821099911894654,0.14412354155295226,0.10188368647807991,0.11641973459327844,4
log10_1plus_metres,True,Ten_code_blocks,Context,Cd,-0.29942235123808647,-0.1692697612455396,0.25491896680108145,0.29003512509650203,0
log10_1plus_metres,True,Ten_code_blocks,ContextF,Fe,0.3537151050611439,0.3780810393834554,0.13094013547925384,0.14858284357576118,6
log10_1plus_metres,True,Ten_code_blocks,ContextF,Zn,0.4251906442532898,0.4494483460826799,0.10893540160815755,0.1145849464350505,7
log10_1plus_metres,True,Ten_code_blocks,ContextF,Cu,0.35226963568715797,0.42735061077649916,0.1270280114226986,0.14340632545578663,8
log10_1plus_metres,True,Ten_code_blocks,ContextF,Cr,0.023477583529053492,0.10665538108495343,0.1251797178739193,0.13956658389367638,2
log10_1plus_metres,True,Ten_code_blocks,ContextF,Co,0.3358826797879506,0.36046849962967675,0.054376694909469184,0.06378495645800686,7
log10_1plus_metres,True,Ten_code_blocks,ContextF,Ni,0.33622965344598776,0.353401768043362,0.0555002065509978,0.06881965793095293,8
